movieCd,movieNm,showTm,prdtYear,openDt,typeNm,nations,genres,directors,actors,companys,audits,w1,w2,w3,w4,tot
20173601,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,63,2016,20170413,장편,미국,뮤지컬|애니메이션|어드벤처|가족|판타지,제이미 미첼,아리엘 윈터|아미 카레로|김미랑|이재현,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,18896,36563,43901,45328,45484
20172541,오두막,132,2017,20170420,장편,미국,드라마,스튜어트 하젤딘,샘 워싱턴|옥타비아 스펜서|팀 맥그로우,판씨네마(주),12세이상관람가,44456,54346,59433,64290,77699
20174561,더 플랜,102,2017,20170420,장편,한국,다큐멘터리,최진성,김어준|김재광|헨리 E. 브래디|필립 B. 스타크|데이비드 D. 딜|베브 해리스|클린트 커티스|존 C. 보니파즈,(주)엣나인필름,15세이상관람가,25199,31930,33925,34122,34225
20172125,파운더,115,2016,20170420,장편,미국,드라마,존 리 행콕,마이클 키튼,CGV아트하우스,15세이상관람가,26370,32747,34153,34435,34593
20172641,마리안느와 마가렛,77,2017,20170420,장편,한국,다큐멘터리,윤세영,마리안느 스퇴거|마가렛 피사렉,(주)팝엔터테인먼트,전체관람가,14408,21225,22976,25993,29233
20161726,임금님의 사건수첩,114,2016,20170426,장편,한국,액션|코미디|어드벤처,문현성,이선균|안재홍,씨제이이앤엠(주),12세이상관람가,1111569,1569479,1626857,1632364,1635003
20173301,"서서평, 천천히 평온하게",78,2017,20170426,장편,한국,다큐멘터리,홍현정|홍주연,하정우|윤안나|안은새,커넥트픽쳐스(주),전체관람가,55887,78308,90200,95757,123958
20162871,특별시민,130,2017,20170426,장편,한국,드라마,박인제,최민식|곽도원|심은경,(주)쇼박스,15세이상관람가,1208488,1351694,1359721,1360335,1362634
20164829,나는 부정한다,109,2016,20170426,장편,미국|영국,드라마,믹 잭슨,레이첼 와이즈|톰 윌킨슨|티모시 스폴,(주)티캐스트,12세이상관람가,17166,24089,26699,28858,31673
20174165,극장판 또봇: 로봇군단의 습격,81,2017,20170427,장편,한국,애니메이션,이달|고동우,하룡이|신경선|이현,씨제이이앤엠(주),전체관람가,97298,134860,140790,141334,141865
