movieCd,movieNm,openDt,nations,directors,actors,companys,audits,w1,w2,w3,w4,tot,hCnt,애니메이션,멜로/로맨스,액션,가족,뮤지컬,범죄,미스터리,전쟁,다큐멘터리,어드벤처,공연,코미디,드라마,서부극(웨스턴),스릴러,판타지,SF,공포(호러),사극
20160781,쿠보와 전설의 악기,20161026,2,796084,134654,3,1,18203,26639,30017,30499,30525,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20160862,선생님의 일기,20161102,1,71753,36093,1,2,61617,70281,71020,71120,72156,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20161796,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,20161103,1,42163,4290,3,1,44738,61551,63823,64351,64729,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20161527,로스트 인 더스트,20161103,2,32252,288709,3,3,67572,77985,79729,80636,81966,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20162609,인어공주 : 새로운 모험의 시작,20161103,1,32624,27602,1,1,25261,30298,31540,32175,32624,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20163521,스플릿,20161109,3,2715622,851277,1,3,553151,716204,755932,757413,758195,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20162147,세상에서 고양이가 사라진다면,20161109,1,41962,32103,1,2,59941,68422,69558,70140,70424,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20162504,감바의 대모험,20161110,1,88193,29390,1,1,64614,95276,111214,116104,117591,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20169730,당신자신과 당신의 것,20161110,3,34114,519357,1,4,12250,15691,17296,17634,18171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20162365,신비한 동물사전,20161116,2,2801471,195973,3,2,2379264,3703028,4305039,4520586,4667179,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20154905,가려진 시간,20161116,3,176594,276747,2,2,434830,504146,507923,509030,511369,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20162629,하이큐!! 끝과 시작,20161116,1,55508,5223,2,2,51638,66779,73046,75055,100030,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
