,date,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
136,20120114,7,7,2,OLD,20113811,코알라 키드 : 영웅의 탄생,2012-01-12,237684000,3.4,181300500,321.5,412705000,33142,24590,287.5,58923,234,621
137,20120114,8,8,-1,OLD,20113883,초한지 - 천하대전,2012-01-11,184011500,2.7,99044000,116.6,380500000,24241,13036,116.3,50416,164,553
138,20120114,9,9,-1,OLD,20110295,마이 웨이,2011-12-21,150521500,2.2,83877500,125.9,15720983500,19450,10751,123.6,2106500,213,662
139,20120114,10,10,0,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,116098500,1.7,82762500,248.3,3547184500,16342,11188,217.1,482713,191,392
140,20120115,1,1,0,OLD,20113862,장화신은 고양이,2012-01-12,2168541500,35.3,-191280000,-8.1,6334703500,242868,-23380,-8.8,715223,582,3000
141,20120115,2,2,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,1069370500,17.4,-199277000,-15.7,52256520000,140034,-23732,-14.5,6860680,456,1971
142,20120115,3,3,0,OLD,20113671,원더풀 라디오,2012-01-05,654035500,10.6,-73139500,-10.1,5973350000,87566,-10024,-10.3,808436,358,1660
143,20120115,4,4,0,OLD,20110882,밀레니엄 : 여자를 증오한 남자들,2012-01-11,550221000,9.0,-82146000,-13,1817711500,69112,-10291,-13,230790,321,1191
144,20120115,5,5,0,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,445922000,7.3,-88500500,-16.6,16113060500,58230,-11025,-15.9,2165504,271,1135
145,20120115,6,6,0,OLD,20113260,퍼펙트 게임,2011-12-21,371682000,6.1,-53572000,-12.6,10367866500,48424,-6984,-12.6,1394142,267,896
146,20120115,7,7,0,OLD,20113811,코알라 키드 : 영웅의 탄생,2012-01-12,221075000,3.6,-16609000,-7,633780000,29671,-3471,-10.5,88594,232,611
147,20120115,8,8,0,OLD,20113883,초한지 - 천하대전,2012-01-11,158014000,2.6,-25997500,-14.1,538514000,21029,-3212,-13.3,71445,163,526
148,20120115,9,9,0,OLD,20110295,마이 웨이,2011-12-21,131347500,2.1,-19174000,-12.7,15852331000,17133,-2317,-11.9,2123633,219,636
149,20120115,10,10,0,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,115313500,1.9,-785000,-0.7,3662498000,15973,-369,-2.3,498686,189,387
150,20120116,1,1,0,OLD,20113862,장화신은 고양이,2012-01-12,488475000,29.1,-1680066500,-77.5,6823178500,56318,-186550,-76.8,771541,523,2645
151,20120116,2,2,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,283532500,16.9,-785838000,-73.5,52540052500,38599,-101435,-72.4,6899279,423,1777
152,20120116,3,3,0,OLD,20113671,원더풀 라디오,2012-01-05,217194500,12.9,-436841000,-66.8,6190544500,30477,-57089,-65.2,838913,324,1573
153,20120116,4,4,0,OLD,20110882,밀레니엄 : 여자를 증오한 남자들,2012-01-11,191427500,11.4,-358793500,-65.2,2009139000,25713,-43399,-62.8,256503,307,1146
